Date;Australian dollar   (AUD)                     ;Chilean peso   (CLP)                     ;Deutsche mark   (DEM)                     ;Euro   (EUR)                     ;Norwegian krone   (NOK)                     ;South African rand   (ZAR)                     ;U.S. dollar   (USD)                     
3-jan-94;;;0,420646;;0,0971739;0,214645;0,730116
4-jan-94;0,502266;;0,419844;;0,0969334;0,214715;0,730781
5-jan-94;0,500871;;0,420286;;0,0971899;0,214464;0,72907
6-jan-94;0,500461;;0,419023;;0,0973204;0,214758;0,729854
7-jan-94;;;0,419154;;0,0971752;0,214377;0,729203
10-jan-94;0,498091;;0,420544;;0,0973101;0,214054;0,727247
11-jan-94;0,503756;;0,419223;;0,0970613;0,214416;0,729658
12-jan-94;0,502598;;0,41918;;0,0971337;0,214517;0,729037
13-jan-94;0,503296;;0,418588;;0,0970943;0,214095;0,728887
14-jan-94;0,502181;;0,416249;;0,0965795;0,213459;0,728644
17-jan-94;0,502683;;0,41565;;0,0965355;0,21358;0,728843
18-jan-94;0,507314;;0,415276;;0,0966048;0,213164;0,728062
19-jan-94;0,508874;;0,416358;;0,0969043;0,21309;0,72717
20-jan-94;0,511076;;0,416634;;0,0969375;0,213615;0,729067
21-jan-94;0,509193;;0,417466;;0,0968078;0,21262;0,725139
24-jan-94;0,512127;;0,416419;;0,0968156;0,213339;0,729941
25-jan-94;0,516394;;0,415787;;0,0968586;0,213052;0,728958
26-jan-94;;;0,415975;;0,0969046;0,212765;0,727124
27-jan-94;0,514304;;0,415935;;0,0966626;0,212194;0,725598
28-jan-94;0,511904;;0,417699;;0,0969696;0,211902;0,723539
31-jan-94;0,515111;0,00173386;0,415921;;0,0967777;0,211624;0,724284
1-feb-94;0,514903;;0,416346;;0,0968875;0,211596;0,72186
2-feb-94;0,51466;;0,416981;;0,0969322;0,211343;0,721418
3-feb-94;0,51673;;0,416027;;0,0967398;0,211379;0,722598
4-feb-94;0,517112;;0,415059;;0,0967242;0,211651;0,723739
7-feb-94;0,517458;;0,412889;;0,0962159;0,211608;0,726767
8-feb-94;0,522201;;0,412961;;0,0962837;0,211614;0,726894
9-feb-94;0,521649;;0,412699;;0,0959285;0,211328;0,726227
10-feb-94;0,5242;;0,413021;;0,0958482;0,210949;0,727248
11-feb-94;0,52037;;0,413845;;0,0957846;0,210579;0,72576
14-feb-94;0,512225;;0,412679;;0,0953366;0,209308;0,720125
15-feb-94;0,507006;;0,413114;;0,0954488;0,208172;0,716009
16-feb-94;0,509633;;0,414559;;0,0957689;0,207562;0,715777
17-feb-94;0,510836;;0,414625;;0,0959349;0,207403;0,716058
18-feb-94;0,511651;;0,416597;;0,0963347;0,207412;0,716297
21-feb-94;0,511652;;0,41669;;0,0965548;0,207833;0,719623
22-feb-94;0,51662;;0,415036;;0,0959912;0,206796;0,718926
23-feb-94;0,518984;;0,416029;;0,096272;0,203659;0,718815
24-feb-94;0,523743;;0,414703;;0,0959876;0,206643;0,719427
25-feb-94;0,517666;;0,416905;;0,0961865;0,206363;0,716493
28-feb-94;0,512972;0,00171546;0,417043;;0,0961449;0,205683;0,714645
1-Mar-1994;0,509811;;0,419179;;0,0964979;0,206763;0,713023
2-Mar-1994;0,503593;;0,418652;;0,0962019;0,205638;0,710788
3-Mar-1994;0,505715;;0,417476;;0,0963081;0,205819;0,713884
4-Mar-1994;;;0,417561;;0,0963646;0,205927;0,7157
7-Mar-1994;0,51664;;0,416747;;0,0962257;0,205751;0,717555
8-Mar-1994;0,514684;;0,417472;;0,0962478;0,205815;0,716132
9-Mar-1994;0,511002;;0,418625;;0,096511;0,206193;0,715388
10-Mar-1994;0,506493;;0,421413;;0,0969936;0,207672;0,713873
11-Mar-1994;0,505737;;0,423047;;0,0975077;0,207401;0,711904
14-Mar-1994;0,51223;;0,422629;;0,0974871;0,206787;0,713313
15-Mar-1994;0,514928;;0,421752;;0,0973897;0,207325;0,715376
16-Mar-1994;;;0,42159;;0,0973983;0,207253;0,715439
17-Mar-1994;0,508741;;0,422208;;0,0975976;0,208411;0,714122
18-Mar-1994;;;0,422172;;0,09735;0,207248;0,714695
21-Mar-1994;;;0,421468;;0,0971615;0,207576;0,716032
22-Mar-1994;;;0,423411;;0,0973727;0,207311;0,714083
23-Mar-1994;;;0,422847;;0,0974542;0,207311;0,715119
24-Mar-1994;0,508215;;0,424656;;0,0976866;0,207522;0,714187
25-Mar-1994;0,502178;;0,426529;;0,0979672;0,205804;0,708891
28-Mar-1994;0,505538;;0,424693;;0,0977007;0,206097;0,710724
29-Mar-1994;0,501939;;0,424492;;0,0974877;0,205352;0,708053
30-Mar-1994;0,498604;;0,42256;;0,0971649;0,203866;0,709352
31-Mar-1994;0,496108;0,00170315;0,423395;;;0,203453;0,707916
1-apr-94;;;;;;;0,712334
4-apr-94;;;;;;;0,712227
