TIME;TPM
May 1995;6,00
July 1995;5,70
September 1995;6,00
October 1995;6,50
December 1995;6,70
April 1996;7,50
February 1997;7,25
April 1997;7,00
June 1997;6,75
September 1997;6,50
January 1998;7,00
February 1998;8,50
September 1998;14,00
October 1998;12,00
November 1998;10,00
November 1998;8,50
December 1998;7,80
January 1999;7,25
March 1999;7,00
April 1999;6,50
May 1999;6,00
June 1999;5,75
June 1999;5,00
January 2000;5,25
May 2000;5,50
August 2000;5,00
January 2001;4,75
February 2001;4,50
March 2001;4,00
April 2001;3,75
June 2001;3,50
August 2001;6,50
January 2002;6,00
February 2002;5,50
March 2002;4,75
May 2002;4,00
July 2002;3,25
August 2002;3,00
January 2002;2,75
December 2002;2,25
January 2004;1,75
September 2004;2,00
November 2004;2,25
January 2005;2,50
February 2005;2,75
April 2005;3,00
May 2005;3,25
July 2005;3,50
August 2005;3,75
September 2005;4,00
October 2005;4,25
November 2005;4,50
February 2006;4,75
April 2006;5,00
July 2006;5,25
January 2007;5,00
July 2007;5,25
August 2007;5,50
September 2007;5,75
December 2007;6,00
January 2008;6,25
June 2008;6,75
July 2008;7,25
August 2008;7,75
September 2008;8,25
January 2009;7,25
February 2009;4,75
March 2009;2,25
April 2009;1,75
May 2009;1,25
June 2009;0,75
July 2009;0,50
June 2010;1,00
July 2010;1,50
August 2010;2,00
September 2010;2,50
October 2010;2,75
November 2010;3,00
December 2010;3,25
February 2011;3,50
March 2011;4,00
April 2011;4,50
May 2011;5,00
June 2011;5,25
January 2012;5,00
October 2013;4,75
November 2013;4,50
February 2014;4,25
March 2014;4,00
July 2014;3,75
August 2014;3,50
September 2014;3,25
October 2014;3,00
October 2015;3,25
December 2015;3,50
January 2017;3,25
March 2017;3,00
April 2017;2,75
May 2017;2,50
