TIME;Value
23-Jän-1990;17,00
15-Feb-1990;16,50
04-Apr-1990;15,00
02-Aug-1990;14,00
15-Okt-1990;13,00
18-Dez-1990;12,00
04-Apr-1991;11,50
16-Mai-1991;10,50
03-Sep-1991;9,50
06-Nov-1991;8,50
08-Jän-1992;7,50
06-Mai-1992;6,50
08-Jul-1992;5,75
23-Mär-1993;5,25
30-Jul-1993;4,75
17-Aug-1994;5,50
24-Okt-1994;6,50
14-Dez-1994;7,50
31-Jul-1996;7,00
06-Nov-1996;6,50
11-Dez-1996;6,00
23-Mai-1997;5,50
30-Jul-1997;5,00
02-Dez-1998;4,75
03-Nov-1999;5,00
02-Feb-2000;5,50
05-Apr-2000;5,75
03-Mai-2000;6,00
02-Aug-2000;6,25
07-Feb-2001;5,75
07-Mär-2001;5,50
04-Apr-2001;5,00
05-Sep-2001;4,75
03-Okt-2001;4,50
05-Dez-2001;4,25
08-Mai-2002;4,50
05-Jun-2002;4,75
05-Nov-2003;5,00
03-Dez-2003;5,25
02-Mär-2005;5,50
03-Mai-2006;5,75
02-Aug-2006;6,00
08-Nov-2006;6,25
08-Aug-2007;6,50
07-Nov-2007;6,75
06-Feb-2008;7,00
05-Mär-2008;7,25
03-Sep-2008;7,00
08-Okt-2008;6,00
05-Nov-2008;5,25
03-Dez-2008;4,25
04-Feb-2009;3,25
08-Apr-2009;3,00
07-Okt-2009;3,25
04-Nov-2009;3,50
02-Dez-2009;3,75
03-Mär-2010;4,00
07-Apr-2010;4,25
05-Mai-2010;4,50
03-Nov-2010;4,75
02-Nov-2011;4,50
07-Dez-2011;4,25
02-Mai-2012;3,75
06-Jun-2012;3,50
03-Okt-2012;3,25
05-Dez-2012;3,00
08-Mai-2013;2,75
07-Aug-2013;2,50
04-Feb-2015;2,25
06-Mai-2015;2,00
04-Mai-2016;1,75
03-Aug-2016;1,50
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
