TIME;Value
01.05.1995;6
01.07.1995;5,7
01.09.1995;6
01.10.1995;6,5
01.12.1995;6,7
01.04.1996;7,5
01.02.1997;7,25
01.04.1997;7
01.06.1997;6,75
01.09.1997;6,5
01.01.1998;7
01.02.1998;8,5
01.09.1998;14
01.10.1998;12
01.11.1998;10
01.11.1998;8,5
01.12.1998;7,8
01.01.1999;7,25
01.03.1999;7
01.04.1999;6,5
01.05.1999;6
01.06.1999;5,75
01.07.1999;5
01.01.2020;5,25
01.05.2020;5,5
01.08.2000;5
01.01.2001;4,75
01.02.2001;4,5
01.03.2001;4
01.04.2001;3,75
01.06.2001;3,5
01.08.2001;6,5
01.01.2002;6
01.02.2002;5,5
01.03.2002;4,75
01.05.2002;4
01.06.2002;3,25
01.08.2002;3
01.01.2002;2,75
01.12.2002;2,25
01.01.2004;1,75
01.09.2004;2
01.11.2004;2,25
01.01.2005;2,5
01.02.2005;2,75
01.04.2005;3
01.05.2005;3,25
01.06.2005;3,5
01.08.2005;3,75
01.09.2005;4
01.10.2005;4,25
01.11.2005;4,5
01.02.2006;4,75
01.04.2006;5
01.06.2006;5,25
01.01.2007;5
01.06.2007;5,25
01.08.2007;5,5
01.09.2007;5,75
01.12.2007;6
01.01.2008;6,25
01.06.2008;6,75
01.06.2008;7,25
01.08.2008;7,75
01.09.2008;8,25
01.01.2009;7,25
01.02.2009;4,75
01.03.2009;2,25
01.04.2009;1,75
01.05.2009;1,25
01.06.2009;0,75
01.06.2009;0,5
01.06.2010;1
01.06.2010;1,5
01.08.2010;2
01.09.2010;2,5
01.10.2010;2,75
01.11.2010;3
01.12.2010;3,25
01.02.2011;3,5
01.03.2011;4
01.04.2011;4,5
01.05.2011;5
01.06.2011;5,25
01.01.2012;5
01.10.2013;4,75
01.11.2013;4,5
01.02.2014;4,25
01.03.2014;4
01.06.2014;3,75
01.08.2014;3,5
01.09.2014;3,25
01.10.2014;3
01.10.2015;3,25
01.12.2015;3,5
01.01.2017;3,25
01.03.2017;3
01.04.2017;2,75
01.05.2017;2,5
