TIME;Value
1960-Q1;4,25
1960-Q2;4,96
1960-Q3;5,34
1960-Q4;4,46
1961-Q1;3,21
1961-Q2;2,58
1961-Q3;2,82
1961-Q4;3
1962-Q1;3,01
1962-Q2;3,17
1962-Q3;3,05
1962-Q4;3,42
1963-Q1;3,36
1963-Q2;3,59
1963-Q3;2,99
1963-Q4;2,93
1964-Q1;3,26
1964-Q2;3,33
1964-Q3;3,63
1964-Q4;3,33
1965-Q1;4,09
1965-Q2;4,41
1965-Q3;4,77
1965-Q4;4,67
1966-Q1;5,07
1966-Q2;6,11
1966-Q3;5,61
1966-Q4;5,85
1967-Q1;4,26
1967-Q2;3,8
1967-Q3;3,12
1967-Q4;2,77
1968-Q1;2,69
1968-Q2;2,68
1968-Q3;2,66
1968-Q4;1,94
1969-Q1;3,63
1969-Q2;5,02
1969-Q3;4,03
1969-Q4;8,35
1970-Q1;9,53
1970-Q2;8,72
1970-Q3;9,14
1970-Q4;7,47
1971-Q1;7,36
1971-Q2;6,94
1971-Q3;6,99
1971-Q4;5,77
1972-Q1;3,88
1972-Q2;2,65
1972-Q3;4,83
1972-Q4;6,69
1973-Q1;11,37
1973-Q2;10,9
1973-Q3;9,76
1973-Q4;11,89
1974-Q1;11,63
1974-Q2;8,79
1974-Q3;9,22
1974-Q4;8,35
1975-Q1;4,85
1975-Q2;4,98
1975-Q3;4,33
1975-Q4;3,92
1976-Q1;3,64
1976-Q2;4,31
1976-Q3;4,33
1976-Q4;5,03
1977-Q1;4,53
1977-Q2;4,13
1977-Q3;4,01
1977-Q4;3,24
1978-Q1;3,55
1978-Q2;3,55
1978-Q3;3,51
1978-Q4;3,56
1979-Q1;4,32
1979-Q2;5,6
1979-Q3;6,5
1979-Q4;9,02
1980-Q1;8,61
1980-Q2;10,04
1980-Q3;9,27
1980-Q4;9,16
1981-Q1;11,97
1981-Q2;11,93
1981-Q3;12
1981-Q4;10,58
1982-Q1;9,83
1982-Q2;9,02
1982-Q3;7,97
1982-Q4;6,15
1983-Q1;5,51
1983-Q2;5,05
1983-Q3;5,42
1983-Q4;5,61
1984-Q1;5,53
1984-Q2;5,52
1984-Q3;5,55
1984-Q4;5,62
1985-Q1;5,85
1985-Q2;5,52
1985-Q3;4,59
1985-Q4;4,64
1986-Q1;4,9
1986-Q2;4,39
1986-Q3;4,39
1986-Q4;5
1987-Q1;3,84
1987-Q2;3,61
1987-Q3;3,71
1987-Q4;3,19
1988-Q1;3,24
1988-Q2;3,74
1988-Q3;4,7
1988-Q4;4,89
1989-Q1;5,61
1989-Q2;6,47
1989-Q3;6,91
1989-Q4;7,67
1990-Q1;7,72
1990-Q2;7,83
1990-Q3;8,03
1990-Q4;8,43
1991-Q1;8,76
1991-Q2;8,79
1991-Q3;9,07
1991-Q4;9,23
1992-Q1;9,62
1992-Q2;9,65
1992-Q3;9,32
1992-Q4;8,91
1993-Q1;8,34
1993-Q2;7,82
1993-Q3;6,99
1993-Q4;6,19
1994-Q1;5,99
1994-Q2;5,14
1994-Q3;4,81
1994-Q4;4,9
1995-Q1;4,79
1995-Q2;4,55
1995-Q3;4,2
1995-Q4;4,08
1996-Q1;3,38
1996-Q2;3,34
1996-Q3;3,09
1996-Q4;3,11
1997-Q1;3,15
1997-Q2;3,07
1997-Q3;3,1
1997-Q4;3,44
1998-Q1;3,45
1998-Q2;3,47
1998-Q3;3,48
1998-Q4;3,14
1999-Q1;2,9252
1999-Q2;2,5632
1999-Q3;2,4336
1999-Q4;3,0418
2000-Q1;3,5104
2000-Q2;4,2945
2000-Q3;4,5905
2000-Q4;4,8268
2001-Q1;4,7814
2001-Q2;4,5395
2001-Q3;3,9865
2001-Q4;3,3389
2002-Q1;3,264
2002-Q2;3,3485
2002-Q3;3,3186
2002-Q4;3,0945
2003-Q1;2,749
2003-Q2;2,2133
2003-Q3;2,0209
2003-Q4;2,0567
2004-Q1;2,0057
2004-Q2;2,0277
2004-Q3;2,0518
2004-Q4;2,0535
2005-Q1;2,0567
2005-Q2;2,0623
2005-Q3;2,0941
2005-Q4;2,2757
2006-Q1;2,52
2006-Q2;2,6977
2006-Q3;3,041
2006-Q4;3,5011
2007-Q1;3,6909
2007-Q2;3,9557
2007-Q3;4,0286
2007-Q4;3,8791
2008-Q1;4,091
2008-Q2;4,0067
2008-Q3;4,2733
2008-Q4;2,4864
2009-Q1;1,062
2009-Q2;0,698
2009-Q3;0,3632
2009-Q4;0,3546
2010-Q1;0,3477
2010-Q2;0,3543
2010-Q3;0,4536
2010-Q4;0,4981
2011-Q1;0,6587
2011-Q2;1,124
2011-Q3;1,0055
2011-Q4;0,627
2012-Q1;0,3567
2012-Q2;0,332
2012-Q3;0,0993
2012-Q4;0,0734
2013-Q1;0,067
2013-Q2;0,0862
2013-Q3;0,0803
2013-Q4;0,1687
2014-Q1;0,1919
2014-Q2;0,0758
2014-Q3;0,0066
2014-Q4;-0,0301
2015-Q1;-0,0504
2015-Q2;-0,1185
2015-Q3;-0,1357
2015-Q4;-0,199
2016-Q1;-0,2877
2016-Q2;-0,3325
2016-Q3;-0,343
2016-Q4;-0,3504
2017-Q1;-0,3535
2017-Q2;-0,3587
2017-Q3;-0,3581
2017-Q4;-0,3423
2018-Q1;-0,3639
