TIME;Value
1960-01-01;3,72
1960-04-01;4,00
1960-07-01;4,50
1960-10-01;4,50
1961-01-01;4,50
1961-04-01;5,00
1961-07-01;5,00
1961-10-01;4,50
1962-01-01;4,50
1962-04-01;3,15
1962-07-01;2,71
1962-10-01;2,35
1963-01-01;2,53
1963-04-01;2,67
1963-07-01;2,35
1963-10-01;2,46
1964-01-01;3,13
1964-04-01;3,50
1964-07-01;4,00
1964-10-01;4,50
1965-01-01;5,00
1965-04-01;5,00
1965-07-01;5,00
1965-10-01;5,00
1966-01-01;5,00
1966-04-01;5,00
1966-07-01;6,00
1966-10-01;6,00
1967-01-01;6,00
1967-04-01;6,00
1967-07-01;6,00
1967-10-01;6,00
1968-01-01;6,00
1968-04-01;6,00
1968-07-01;5,50
1968-10-01;5,50
1969-01-01;5,50
1969-04-01;5,50
1969-07-01;5,50
1969-10-01;5,50
1970-01-01;5,50
1970-04-01;5,50
1970-07-01;5,50
1970-10-01;5,50
1971-01-01;6,50
1971-04-01;6,50
1971-07-01;6,50
1971-10-01;6,50
1972-01-01;6,50
1972-04-01;6,50
1972-07-01;6,00
1972-10-01;6,00
1973-01-01;5,50
1973-04-01;5,50
1973-07-01;3,15
1973-10-01;3,78
1974-01-01;5,32
1974-04-01;6,22
1974-07-01;6,68
1974-10-01;6,48
1975-01-01;6,45
1975-04-01;6,05
1975-07-01;7,14
1975-10-01;7,42
1976-01-01;7,78
1976-04-01;7,84
1976-07-01;8,26
1976-10-01;8,28
1977-01-01;8,39
1977-04-01;8,36
1977-07-01;8,42
1977-10-01;8,41
1978-01-01;8,50
1978-04-01;8,50
1978-07-01;8,16
1978-10-01;7,87
1979-01-01;6,55
1979-04-01;5,84
1979-07-01;4,88
1979-10-01;4,70
1980-01-01;4,78
1980-04-01;5,08
1980-07-01;5,22
1980-10-01;6,54
1981-01-01;8,18
1981-04-01;10,50
1981-07-01;11,83
1981-10-01;14,54
1982-01-01;16,34
1982-04-01;16,76
1982-07-01;16,60
1982-10-01;14,35
1983-01-01;12,24
1983-04-01;13,99
1983-07-01;16,00
1983-10-01;17,75
1984-01-01;17,75
1984-04-01;17,75
1984-07-01;21,75
1984-10-01;20,75
1985-01-01;21,75
1985-04-01;18,75
1985-07-01;15,00
1985-10-01;13,00
1986-01-01;12,00
1986-04-01;11,00
1986-07-01;10,00
1986-10-01;9,50
1987-01-01;9,50
1987-04-01;9,50
1987-07-01;9,50
1987-10-01;9,50
1988-01-01;10,50
1988-04-01;11,50
1988-07-01;12,50
1988-10-01;14,50
1989-01-01;14,50
1989-04-01;17,00
1989-07-01;17,00
1989-10-01;18,00
1990-01-01;18,00
1990-04-01;18,00
1990-07-01;18,00
1990-10-01;18,00
1991-01-01;17,00
1991-04-01;17,00
1991-07-01;17,00
1991-10-01;17,00
1992-01-01;16,00
1992-04-01;15,00
1992-07-01;15,00
1992-10-01;14,00
1993-01-01;13,00
1993-04-01;13,00
1993-07-01;13,00
1993-10-01;12,00
1994-01-01;12,00
1994-04-01;12,00
1994-07-01;13,00
1994-10-01;13,00
1995-01-01;14,00
1995-04-01;15,00
1995-07-01;15,00
1995-10-01;15,00
1996-01-01;15,00
1996-04-01;16,00
1996-07-01;16,00
1996-10-01;17,00
1997-01-01;17,00
1997-04-01;17,00
1997-07-01;17,00
1997-10-01;16,00
1998-01-01;15,00
1998-04-01;20,21
1998-07-01;21,85
1998-10-01;19,32
1999-01-01;16,50
1999-04-01;14,91
1999-07-01;12,40
1999-10-01;12,00
2000-01-01;11,75
2000-04-01;11,75
2000-07-01;11,75
2000-10-01;12,00
2001-01-01;12,00
2001-04-01;11,00
2001-07-01;9,50
2001-10-01;9,50
2002-01-01;11,50
2002-04-01;12,50
2002-07-01;13,50
2002-10-01;13,50
2003-01-01;13,50
2003-04-01;12,00
2003-07-01;10,00
2003-10-01;8,00
2004-01-01;8,00
2004-04-01;8,00
2004-07-01;7,50
2004-10-01;7,50
2005-01-01;7,50
2005-04-01;7,00
2005-07-01;7,00
2005-10-01;7,00
2006-01-01;7,00
2006-04-01;7,50
2006-07-01;8,00
2006-10-01;9,00
2007-01-01;9,00
2007-04-01;9,50
2007-07-01;10,00
2007-10-01;11,00
2008-01-01;11,00
2008-04-01;12,00
2008-07-01;12,00
2008-10-01;11,50
2009-01-01;9,50
2009-04-01;7,50
2009-07-01;7,00
2009-10-01;7,00
2010-01-01;6,50
2010-04-01;6,50
2010-07-01;6,00
2010-10-01;5,50
2011-01-01;5,50
2011-04-01;5,50
2011-07-01;5,50
2011-10-01;5,50
2012-01-01;5,50
2012-04-01;5,50
2012-07-01;5,00
2012-10-01;5,00
2013-01-01;5,00
2013-04-01;5,00
2013-07-01;5,00
2013-10-01;5,00
2014-01-01;5,50
2014-04-01;5,50
2014-07-01;5,75
2014-10-01;5,75
2015-01-01;5,75
2015-04-01;5,75
2015-07-01;6,00
2015-10-01;6,25
2016-01-01;7,00
2016-04-01;7,00
2016-07-01;7,00
2016-10-01;7,00
2017-01-01;7,00
2017-04-01;7,00
2017-07-01;6,75
2017-10-01;6,75
2018-01-01;6,50
