DATE;GCSI;GCSI_PR;GCSI_IN;GCSI_EN;GCSI_OI;BCOM;BCOM_PR;BCOM_IN;BCOM_EN
30.01.1970;102,19;;;;;;;;
27.02.1970;104,37;;;;;;;;
31.03.1970;104,69;;;;;;;;
30.04.1970;102,53;;;;;;;;
29.05.1970;99,43;;;;;;;;
30.06.1970;105,54;;;;;;;;
31.07.1970;100,15;;;;;;;;
31.08.1970;105,25;;;;;;;;
30.09.1970;105,66;;;;;;;;
30.10.1970;104,88;;;;;;;;
30.11.1970;104,33;;;;;;;;
31.12.1970;104,91;;;;;;;;
29.01.1971;110,19;;;;;;;;
26.02.1971;108,53;;;;;;;;
31.03.1971;107,98;;;;;;;;
30.04.1971;107,43;;;;;;;;
31.05.1971;107,94;;;;;;;;
30.06.1971;106,15;;;;;;;;
30.07.1971;105,08;;;;;;;;
31.08.1971;104,44;;;;;;;;
30.09.1971;103,58;;;;;;;;
29.10.1971;108,04;;;;;;;;
30.11.1971;108,29;;;;;;;;
31.12.1971;111,93;;;;;;;;
31.01.1972;113,01;;;;;;;;
29.02.1972;111,56;;;;;;;;
31.03.1972;111,28;;;;;;;;
28.04.1972;112,97;;;;;;;;
31.05.1972;113,44;;;;;;;;
30.06.1972;115,88;;;;;;;;
31.07.1972;111,29;;;;;;;;
31.08.1972;118,53;;;;;;;;
29.09.1972;129,06;;;;;;;;
31.10.1972;127,31;;;;;;;;
30.11.1972;136,76;;;;;;;;
29.12.1972;147,14;;;;;;;;
31.01.1973;150,67;99,951;;;;;;;
28.02.1973;153,65;124,511;;;;;;;
30.03.1973;149,08;107,617;;;;;;;
30.04.1973;153,91;106,543;;;;;;;
31.05.1973;180,02;126,806;;;;;;;
29.06.1973;165,8;132,861;;;;;;;
31.07.1973;209,22;141,65;;;;;;;
31.08.1973;208,21;131,347;;;;;;;
28.09.1973;198,1;137,792;;;;;;;
31.10.1973;186,34;140,673;;;;;;;
30.11.1973;199,06;147,314;;;;;;;
31.12.1973;218,73;160,986;;;;;;;
31.01.1974;244,17;198,242;;;;;;;
28.02.1974;236,56;287,012;;;;;;;
29.03.1974;212,89;262,158;;;;;;;
30.04.1974;205,01;280,274;;;;;;;
31.05.1974;191,02;240,967;;;;;;;
28.06.1974;206,54;234,375;;;;;;;
31.07.1974;253,34;244,238;;;;;;;
30.08.1974;240,36;209,717;;;;;;;
30.09.1974;257,38;216,065;;;;;;;
31.10.1974;279,08;236,572;;;;;;;
29.11.1974;289,39;231,446;;;;;;;
31.12.1974;264,03;218,262;;;;;;;
31.01.1975;222,9;200,436;;;;;;;
28.02.1975;198,42;220,455;;;;;;;
31.03.1975;215,15;208,736;;;;;;;
30.04.1975;200,26;213,131;;;;;;;
30.05.1975;189,19;220,699;;;;;;;
30.06.1975;187,94;228,267;;;;;;;
31.07.1975;192,33;246,821;;;;;;;
29.08.1975;211,25;228,267;;;;;;;
30.09.1975;211,19;220,943;;;;;;;
31.10.1975;193,36;204,684;;;;;;;
28.11.1975;189,16;204,391;;;;;;;
31.12.1975;183,46;206,832;;;;;;;
30.01.1976;168,67;193,851;;;;;;;
27.02.1976;178,86;207,28;;;;;;;
31.03.1976;184,38;197,904;;;;;;;
30.04.1976;192,01;219,731;;;;;;;
31.05.1976;195,59;229,985;;;;;;;
30.06.1976;189,45;238,774;;;;;;;
30.07.1976;172,13;220,317;;;;;;;
31.08.1976;167,47;202,153;;;;;;;
30.09.1976;151,18;213,481;;;;;;;
29.10.1976;148,81;211,528;;;;;;;
30.11.1976;151,02;211,723;;;;;;;
31.12.1976;158,1;214,36;;;;;;;
31.01.1977;155,53;219,482;101,41;;;;;;
28.02.1977;155,95;233,154;107,99;;;;;;
31.03.1977;165,32;235,937;110,66;;;;;;
29.04.1977;174,51;234,717;100,47;;;;;;
31.05.1977;167,97;222,9;94,67;;;;;;
30.06.1977;159,24;220,557;95,3;;;;;;
29.07.1977;138,63;220,752;88,24;;;;;;
31.08.1977;140,98;221,533;86,83;;;;;;
30.09.1977;145,75;228,857;88,4;;;;;;
31.10.1977;149,22;238,867;86,21;;;;;;
30.11.1977;152,24;237,012;90,75;;;;;;
30.12.1977;159,33;236,768;94,51;;;;;;
31.01.1978;159,11;251,062;90,91;;;;;;
28.02.1978;162,23;257,58;88,56;;;;;;
31.03.1978;179,66;264,102;94,98;;;;;;
28.04.1978;183,16;241,975;94,2;;;;;;
31.05.1978;195,49;264,425;102,35;;;;;;
30.06.1978;174,7;259,282;94,2;;;;;;
31.07.1978;175,72;292,783;98,75;;;;;;
31.08.1978;179,79;292,767;102,27;;;;;;
29.09.1978;191,62;305,574;105,33;;;;;;
31.10.1978;192,21;332,845;110,03;;;;;;
30.11.1978;196,64;281,473;107,21;;;;;;
29.12.1978;193,07;318,841;111,36;;;;;;
31.01.1979;204,26;333,641;123,67;;;;;;
28.02.1979;214,67;362,815;145,3;;;;;;
30.03.1979;209,32;349,382;148,28;;;;;;
30.04.1979;219,97;361,309;146,71;;;;;;
31.05.1979;206,05;403,91;124,61;;;;;;
29.06.1979;206,06;407,077;127,43;;;;;;
31.07.1979;192,45;425,094;127,43;;;;;;
31.08.1979;213,78;476,253;144,36;;;;;;
28.09.1979;224,45;623,712;167,71;;;;;;
31.10.1979;215,27;602,548;142,48;;;;;;
30.11.1979;236,13;677,913;160,97;;;;;;
31.12.1979;237,81;900,986;164,89;;;;;;
31.01.1980;250,85;1151,469;204,55;;;;;;
29.02.1980;247,85;1086,225;192,79;;;;;;
31.03.1980;216,22;773,856;136,52;;;;;;
30.04.1980;224,53;698,356;141,54;;;;;;
30.05.1980;237,91;761,589;146,39;;;;;;
30.06.1980;254,04;902,181;145,61;;;;;;
31.07.1980;261,69;874,948;150,16;;;;;;
29.08.1980;265,92;903,793;141,22;;;;;;
30.09.1980;284,71;985,29;146,47;;;;;;
31.10.1980;291,03;911,405;147,18;;;;;;
28.11.1980;293,99;917,784;147,73;;;;;;
31.12.1980;268,69;833,452;135,66;;;;;;
30.01.1981;252,19;709,061;131,98;;;;;;
27.02.1981;245,21;670,323;129,39;;;;;;
31.03.1981;249,03;708,847;135,42;;;;;;
30.04.1981;244,83;661,53;130,96;;;;;;
29.05.1981;243,65;660,256;127,66;;;;;;
30.06.1981;227,64;567,573;122,02;;;;;;
31.07.1981;230,58;560,024;131,27;;;;;;
31.08.1981;223,07;593,765;127,43;;;;;;
30.09.1981;222,98;589,695;120,22;;;;;;
30.10.1981;221,34;575,226;120,77;;;;;;
30.11.1981;215,42;546,945;118,57;;;;;;
31.12.1981;201,65;533,715;118,65;;;;;;
29.01.1982;213,57;521,373;116,69;;;;;;
26.02.1982;208,82;487,487;111,52;;;;;;
31.03.1982;215,75;446,448;105,88;;;;;;
30.04.1982;223,28;457,972;113,48;;;;;;
31.05.1982;217,65;431,024;101,25;;;;;;
30.06.1982;209,55;417,168;95,61;;;;;;
30.07.1982;207,14;465,102;98,98;;;;;;
31.08.1982;207,22;548,614;100,94;;;;;;
30.09.1982;199,4;535,428;94,04;;;;;;
29.10.1982;197,21;574,751;103,29;;;;;;
30.11.1982;205,05;606,16;106,58;;;;;;
31.12.1982;201,46;618,548;109,17;;;;;;
31.01.1983;199,05;722,996;117,95;89,9563;;;;;
