Bloomberg Index;;Precious;;Industrial;;Energy;;S&P Index;;Precious;;Industrial;;Crude Oil;;Natural Gas;;Agriculture;;Agriculture + Livestock;;Livestock;;Energy;;Copper;;Aluminium;;Gold;
Date;BCOM Index;Date;BCOMPR Index;Date;BCOMIN Index;Date;BCOMEN Index;Date;SPGSCI Index;Date;SPGSPM Index;Date;SPGSIN Index;Date;SPGSCL Index;Date;SPGSNG Index;Date;SPGSAG Index;Date;SPGSAL Index;Date;SPGSLV Index;Date;SPGSEN Index;Date;SPGSIC Index;Date;SPGSIA Index;Date;SPGSGC Index
31.01.1991;94,4086;31.01.1991;93,1821;31.01.1991;92,8314;31.01.1991;86,1541;30.01.1970;102,19;31.01.1973;99,951;31.01.1977;101,41;30.01.1987;102,76;31.01.1994;119,58;30.01.1970;98,5501;30.01.1970;102,1943;30.01.1970;104,8271;31.01.1983;89,9563;31.01.1977;101,41;31.01.1991;94,8;31.01.1978;104,157
28.02.1991;95,9035;28.02.1991;92,4301;28.02.1991;97,7523;28.02.1991;85,6199;27.02.1970;104,37;28.02.1973;124,511;28.02.1977;107,99;27.02.1987;90,98;28.02.1994;103,38;27.02.1970;100,9341;27.02.1970;104,3727;27.02.1970;106,8569;28.02.1983;85,402;28.02.1977;107,99;28.02.1991;99,44;28.02.1978;107,3591
29.03.1991;96,1254;29.03.1991;90,7646;29.03.1991;93,3741;29.03.1991;89,6383;31.03.1970;104,69;30.03.1973;107,617;31.03.1977;110,66;31.03.1987;103,2;31.03.1994;97,15;31.03.1970;99,6591;31.03.1970;104,6938;31.03.1970;108,3312;31.03.1983;90,6728;31.03.1977;110,66;29.03.1991;91,81;31.03.1978;108,4071
30.04.1991;96,0553;30.04.1991;91,1159;30.04.1991;91,9417;30.04.1991;93,3014;30.04.1970;102,53;30.04.1973;106,543;29.04.1977;100,47;30.04.1987;102,65;29.04.1994;96,78;30.04.1970;101,0825;30.04.1970;102,5263;30.04.1970;103,5694;29.04.1983;96,478;29.04.1977;100,47;30.04.1991;86,76;28.04.1978;99,3246
31.05.1991;94,5573;31.05.1991;92,578;31.05.1991;84,3891;31.05.1991;94,1063;29.05.1970;99,43;31.05.1973;126,806;31.05.1977;94,67;29.05.1987;106,22;31.05.1994;89,76;29.05.1970;98,3304;29.05.1970;99,4307;29.05.1970;100,2257;31.05.1983;94,9113;31.05.1977;94,67;31.05.1991;80,18;31.05.1978;108,8728
28.06.1991;91,8192;28.06.1991;95,4897;28.06.1991;87,5802;28.06.1991;89,3731;30.06.1970;105,54;29.06.1973;132,861;30.06.1977;95,3;30.06.1987;111,2;30.06.1994;102,26;30.06.1970;104,3293;30.06.1970;105,5366;30.06.1970;106,4088;30.06.1983;99,6357;30.06.1977;95,3;28.06.1991;85,33;30.06.1978;106,9516
31.07.1991;95,2679;31.07.1991;91,833;31.07.1991;86,4376;31.07.1991;94,4148;31.07.1970;100,15;31.07.1973;141,65;29.07.1977;88,24;31.07.1987;117,12;29.07.1994;88,63;31.07.1970;104,1622;31.07.1970;100,1548;31.07.1970;97,2597;29.07.1983;102,7204;29.07.1977;88,24;31.07.1991;81,42;31.07.1978;122,1472
30.08.1991;94,992;30.08.1991;86,9166;30.08.1991;86,5497;30.08.1991;98,7768;31.08.1970;105,25;31.08.1973;131,347;31.08.1977;86,83;31.08.1987;108,13;31.08.1994;74,26;31.08.1970;116,6359;31.08.1970;105,2481;31.08.1970;97,0211;31.08.1983;103,5463;31.08.1977;86,83;30.08.1991;80,72;31.08.1978;122,6129
30.09.1991;95,7925;30.09.1991;89,6321;30.09.1991;84,3157;30.09.1991;100,1737;30.09.1970;105,66;28.09.1973;137,792;30.09.1977;88,4;30.09.1987;107,37;30.09.1994;77,58;30.09.1970;117,1593;30.09.1970;105,6585;30.09.1970;97,3498;30.09.1983;98,7369;30.09.1977;88,4;30.09.1991;74,33;29.09.1978;128,6097
