Brent + 3Y;;Brent + 2Y;;Brent + 1Y;;Brent + 6M;;WTI + 3Y;;WTI + 2Y;;WTI + 1Y;;WTI + 6M;
Date;COM1 Comdty;Date;COM0 Comdty;Date;COM9 Comdty;Date;COZ8 Comdty;Date;CLK1 Comdty;Date;CLK0 Comdty;Date;CLK9 Comdty;Date;CLX8 Comdty
19.05.2008;127,01;29.05.2014;93,39;16.11.2010;91,94;16.11.2009;101,41;20.11.2015;56,76;20.11.2014;80,19;20.11.2013;80,12;16.11.2012;85,49
20.05.2008;132,42;30.05.2014;93,47;17.11.2010;90,25;17.11.2009;102,01;23.11.2015;57,05;21.11.2014;81,06;21.11.2013;79,68;19.11.2012;85,46
21.05.2008;136,14;02.06.2014;93,66;18.11.2010;91,52;18.11.2009;102,67;24.11.2015;58,31;24.11.2014;80,77;22.11.2013;79,72;20.11.2012;85,05
22.05.2008;130,94;03.06.2014;93,58;19.11.2010;90,72;19.11.2009;101,4;25.11.2015;58,28;25.11.2014;80,36;25.11.2013;80,12;21.11.2012;85,61
23.05.2008;130,4;04.06.2014;93,28;22.11.2010;90,83;20.11.2009;101,65;27.11.2015;57,76;26.11.2014;80,84;26.11.2013;80,28;23.11.2012;86,88
26.05.2008;130,88;05.06.2014;93,8;23.11.2010;90,51;23.11.2009;101,32;30.11.2015;57,55;28.11.2014;77,72;27.11.2013;80,12;26.11.2012;86,05
27.05.2008;128,38;06.06.2014;93,32;24.11.2010;92,54;24.11.2009;100,28;01.12.2015;57,47;01.12.2014;79,5;29.11.2013;80,45;27.11.2012;85,79
28.05.2008;128,38;09.06.2014;93,65;25.11.2010;92,99;25.11.2009;102,4;02.12.2015;57,19;02.12.2014;78,27;02.12.2013;80,56;28.11.2012;85,89
29.05.2008;125,9;10.06.2014;93,86;26.11.2010;92,47;26.11.2009;101,01;03.12.2015;57,79;03.12.2014;78,17;03.12.2013;80,4;29.11.2012;85,75
30.05.2008;125,29;11.06.2014;94,09;29.11.2010;93,99;27.11.2009;101,72;04.12.2015;57,74;04.12.2014;76,35;04.12.2013;80,25;30.11.2012;85,67
02.06.2008;126,61;12.06.2014;94,23;30.11.2010;92,14;30.11.2009;103,44;07.12.2015;57,49;05.12.2014;74,78;05.12.2013;79,71;03.12.2012;85,44
03.06.2008;125,26;13.06.2014;94,03;01.12.2010;93,66;01.12.2009;103,76;08.12.2015;57,41;08.12.2014;72,6;06.12.2013;79,94;04.12.2012;85,26
04.06.2008;123,15;16.06.2014;95,2;02.12.2010;92,96;02.12.2009;102,98;09.12.2015;57,31;09.12.2014;72,74;09.12.2013;80,05;05.12.2012;85,71
05.06.2008;126,83;17.06.2014;96,69;03.12.2010;90,84;03.12.2009;104,89;10.12.2015;57,51;10.12.2014;71,3;10.12.2013;79,89;06.12.2012;85,36
06.06.2008;132,7;18.06.2014;97,11;06.12.2010;89,75;04.12.2009;104,18;11.12.2015;56,81;11.12.2014;71,15;11.12.2013;80,3;07.12.2012;85,36
09.06.2008;129,95;19.06.2014;97,48;07.12.2010;91,72;07.12.2009;103,43;14.12.2015;55,65;12.12.2014;69,19;12.12.2013;80,04;10.12.2012;84,83
10.06.2008;130,3;20.06.2014;97,54;08.12.2010;93,05;08.12.2009;102,37;15.12.2015;55,72;15.12.2014;67,7;13.12.2013;79,01;11.12.2012;85,15
11.06.2008;135,5;23.06.2014;98,01;09.12.2010;93,03;09.12.2009;99,74;16.12.2015;55,33;16.12.2014;66,59;16.12.2013;79,36;12.12.2012;85,23
12.06.2008;136,3;24.06.2014;98,7;10.12.2010;92,73;10.12.2009;100,5;17.12.2015;55,15;17.12.2014;66,99;17.12.2013;79,44;13.12.2012;84,2
13.06.2008;135,34;25.06.2014;98,58;13.12.2010;93,06;11.12.2009;100,06;18.12.2015;54,85;18.12.2014;67,67;18.12.2013;78,79;14.12.2012;84,94
16.06.2008;136,62;26.06.2014;97,98;14.12.2010;93,54;14.12.2009;100,1;21.12.2015;54,17;19.12.2014;70,54;19.12.2013;78,37;17.12.2012;84,26
17.06.2008;135,51;27.06.2014;98,27;15.12.2010;94,1;15.12.2009;100,12;22.12.2015;53,29;22.12.2014;70,37;20.12.2013;78,11;18.12.2012;84,2
18.06.2008;136,66;30.06.2014;97,97;16.12.2010;93,76;16.12.2009;101,48;23.12.2015;53,41;23.12.2014;71,63;23.12.2013;78,11;19.12.2012;84,82
19.06.2008;133,18;01.07.2014;98,48;17.12.2010;93,81;17.12.2009;100,94;24.12.2015;54,35;24.12.2014;71,84;24.12.2013;78,04;20.12.2012;84,51
20.06.2008;134,54;02.07.2014;98,47;20.12.2010;94,64;18.12.2009;101,29;28.12.2015;53,98;26.12.2014;71,47;26.12.2013;78,22;21.12.2012;84,42
23.06.2008;135,56;03.07.2014;98,55;21.12.2010;94,64;21.12.2009;100,59;29.12.2015;54,71;29.12.2014;70,69;27.12.2013;78,35;24.12.2012;84,49
24.06.2008;136,33;04.07.2014;98,3;22.12.2010;94,75;22.12.2009;101,15;30.12.2015;54,04;30.12.2014;70,61;30.12.2013;78,28;26.12.2012;85,07
25.06.2008;134,56;07.07.2014;98,55;23.12.2010;95,21;23.12.2009;101,96;31.12.2015;54,59;31.12.2014;70,52;31.12.2013;78,04;27.12.2012;85,14
26.06.2008;137,92;08.07.2014;97,97;24.12.2010;94,6;24.12.2009;102,06;04.01.2016;54,42;02.01.2015;70,02;02.01.2014;77,19;28.12.2012;85,11
27.06.2008;138,78;09.07.2014;98,11;27.12.2010;94,95;28.12.2009;102,9;05.01.2016;53,91;05.01.2015;68,69;03.01.2014;76,93;31.12.2012;85,74
30.06.2008;139,14;10.07.2014;98;28.12.2010;95,38;29.12.2009;103,18;06.01.2016;52,74;06.01.2015;66,93;06.01.2014;76,98;02.01.2013;85,08
01.07.2008;140,09;11.07.2014;98,21;29.12.2010;95,58;30.12.2009;103,26;07.01.2016;51,81;07.01.2015;66,32;07.01.2014;76,06;03.01.2013;84,13
02.07.2008;142,97;14.07.2014;99,17;30.12.2010;95,02;31.12.2009;102,47;08.01.2016;51,73;08.01.2015;66,34;08.01.2014;75,58;04.01.2013;84,05
03.07.2008;144,54;15.07.2014;98,56;31.12.2010;96,26;04.01.2010;103,61;11.01.2016;50,5;09.01.2015;67,6;09.01.2014;75,87;07.01.2013;84,53
04.07.2008;143,73;16.07.2014;97,85;03.01.2011;95,86;05.01.2010;103,96;12.01.2016;49,24;12.01.2015;66,9;10.01.2014;75,86;08.01.2013;84,33
07.07.2008;143,27;17.07.2014;96,88;04.01.2011;95,15;06.01.2010;105,38;13.01.2016;48,24;13.01.2015;67,63;13.01.2014;75,78;09.01.2013;84,39
08.07.2008;139,33;18.07.2014;96,22;05.01.2011;97,26;07.01.2010;104,85;14.01.2016;48,77;14.01.2015;68,12;14.01.2014;76,61;10.01.2013;84,09
09.07.2008;139,35;21.07.2014;97,93;06.01.2011;96,9;08.01.2010;105,22;15.01.2016;46,48;15.01.2015;65,85;15.01.2014;76,99;11.01.2013;84,06
10.07.2008;143,03;22.07.2014;97,15;07.01.2011;95,28;11.01.2010;105,21;19.01.2016;45,24;16.01.2015;67,06;16.01.2014;76,03;14.01.2013;84,56
