TIME;DEU_dax;USA_sp500;NOR_obx;AUS_asx;CHL_igpa;ZAF_stock_index
Q1 1960;411,6;NA;NA;NA;NA;NA
Q2 1960;533,3;NA;NA;NA;NA;NA
Q3 1960;551,2;NA;NA;NA;NA;NA
Q4 1960;534,1;NA;NA;NA;NA;NA
Q1 1961;536,2;NA;NA;NA;NA;NA
Q2 1961;554,1;NA;NA;NA;NA;NA
Q3 1961;477,4;NA;NA;NA;NA;NA
Q4 1961;489,8;NA;NA;NA;NA;NA
Q1 1962;467;NA;NA;NA;NA;NA
Q2 1962;374,7;NA;NA;NA;NA;NA
Q3 1962;354,5;NA;NA;NA;NA;NA
Q4 1962;386,3;NA;NA;NA;NA;NA
Q1 1963;364,2;NA;NA;NA;NA;NA
Q2 1963;423,4;NA;NA;NA;NA;NA
Q3 1963;452,2;NA;NA;NA;NA;NA
Q4 1963;439;NA;NA;NA;NA;NA
Q1 1964;509,7;75,02;NA;NA;NA;NA
Q2 1964;485,5;79,24;NA;NA;NA;NA
Q3 1964;505,5;82,27;NA;NA;NA;NA
Q4 1964;477,9;84,08;NA;NA;NA;NA
Q1 1965;450,7;84,75;NA;NA;NA;NA
Q2 1965;434,3;86,32;NA;NA;NA;NA
Q3 1965;461,8;84,48;NA;NA;NA;NA
Q4 1965;422,4;89,9;NA;NA;NA;NA
Q1 1966;429,8;92,18;NA;NA;NA;NA
Q2 1966;362,5;89,94;NA;NA;NA;NA
Q3 1966;367,3;85,61;NA;NA;NA;NA
Q4 1966;333,4;74,9;NA;NA;NA;NA
Q1 1967;388,4;80,33;NA;NA;NA;NA
Q2 1967;362;89,24;NA;NA;NA;NA
Q3 1967;442,5;90,91;NA;NA;NA;NA
Q4 1967;503,2;96,32;NA;NA;NA;NA
Q1 1968;535,6;96,47;NA;NA;NA;NA
Q2 1968;591,4;92,48;NA;NA;NA;NA
Q3 1968;567,3;99,4;NA;NA;NA;NA
Q4 1968;555,6;102,86;NA;NA;NA;NA
Q1 1969;581,4;103,86;NA;NA;NA;NA
Q2 1969;588,8;101,42;NA;NA;NA;NA
Q3 1969;601,5;98,08;NA;NA;NA;NA
Q4 1969;622,4;92,52;NA;NA;NA;NA
Q1 1970;572,7;92,06;NA;NA;NA;NA
Q2 1970;464,8;90,07;NA;NA;NA;NA
Q3 1970;486,7;73,04;NA;NA;NA;NA
Q4 1970;443,9;84,32;NA;NA;NA;NA
Q1 1971;538,5;92,15;NA;NA;NA;NA
Q2 1971;506,2;100,39;NA;NA;NA;NA
Q3 1971;480,1;99,78;NA;NA;NA;NA
Q4 1971;473,5;98,93;NA;NA;NA;NA
Q1 1972;560,4;101,67;NA;NA;NA;NA
