TIME;AUS_UNEMP;TIME;CHL_UNEMP;TIME;NOR_UNEMP;TIME;ZAF_UNEMP;TIME;DEU_UNEMP;TIME;USA_UNEMP
Q1 1960;NA;Q1 1960;NA;Q1 1960;NA;Q1 1960;NA;Q1 1960;2,4;Q1 1960;5,1
Q2 1960;NA;Q2 1960;NA;Q2 1960;NA;Q2 1960;NA;Q2 1960;0,9;Q2 1960;5,2
Q3 1960;NA;Q3 1960;NA;Q3 1960;NA;Q3 1960;NA;Q3 1960;0,6;Q3 1960;5,5
Q4 1960;NA;Q4 1960;NA;Q4 1960;NA;Q4 1960;NA;Q4 1960;0,9;Q4 1960;6,3
Q1 1961;NA;Q1 1961;NA;Q1 1961;NA;Q1 1961;NA;Q1 1961;1,5;Q1 1961;6,8
Q2 1961;NA;Q2 1961;NA;Q2 1961;NA;Q2 1961;NA;Q2 1961;0,6;Q2 1961;7
Q3 1961;NA;Q3 1961;NA;Q3 1961;NA;Q3 1961;NA;Q3 1961;0,5;Q3 1961;6,8
Q4 1961;NA;Q4 1961;NA;Q4 1961;NA;Q4 1961;NA;Q4 1961;0,7;Q4 1961;6,2
Q1 1962;NA;Q1 1962;NA;Q1 1962;NA;Q1 1962;NA;Q1 1962;1,1;Q1 1962;5,6
Q2 1962;NA;Q2 1962;NA;Q2 1962;NA;Q2 1962;NA;Q2 1962;0,5;Q2 1962;5,5
Q3 1962;NA;Q3 1962;NA;Q3 1962;NA;Q3 1962;NA;Q3 1962;0,4;Q3 1962;5,6
Q4 1962;NA;Q4 1962;NA;Q4 1962;NA;Q4 1962;NA;Q4 1962;0,7;Q4 1962;5,5
Q1 1963;NA;Q1 1963;NA;Q1 1963;NA;Q1 1963;NA;Q1 1963;1,6;Q1 1963;5,8
Q2 1963;NA;Q2 1963;NA;Q2 1963;NA;Q2 1963;NA;Q2 1963;0,6;Q2 1963;5,7
Q3 1963;NA;Q3 1963;NA;Q3 1963;NA;Q3 1963;NA;Q3 1963;0,5;Q3 1963;5,5
Q4 1963;NA;Q4 1963;NA;Q4 1963;NA;Q4 1963;NA;Q4 1963;0,7;Q4 1963;5,6
