DATE,MABMM201USQ189S
1959-01-01,287833333333.333
1959-04-01,292133333333.333
1959-07-01,296100000000
1959-10-01,297133333333.333
1960-01-01,298700000000
1960-04-01,301100000000
1960-07-01,306466666666.667
1960-10-01,310933333333.333
1961-01-01,316300000000
1961-04-01,322133333333.333
1961-07-01,327566666666.667
1961-10-01,333333333333.333
1962-01-01,340233333333.333
1962-04-01,347433333333.333
1962-07-01,352833333333.333
1962-10-01,359900000000
1963-01-01,367933333333.333
1963-04-01,375933333333.333
1963-07-01,383566666666.667
1963-10-01,391000000000
1964-01-01,397533333333.333
1964-04-01,404333333333.333
1964-07-01,413466666666.667
1964-10-01,421933333333.333
1965-01-01,430366666666.667
1965-04-01,437533333333.333
1965-07-01,446066666666.667
1965-10-01,455833333333.333
1966-01-01,464600000000
1966-04-01,470200000000
1966-07-01,472966666666.667
1966-10-01,477733333333.333
1967-01-01,485466666666.667
1967-04-01,497100000000
1967-07-01,510600000000
1967-10-01,521400000000
1968-01-01,530333333333.333
1968-04-01,539066666666.667
1968-07-01,549533333333.333
1968-10-01,562266666666.667
1969-01-01,571866666666.667
1969-04-01,576900000000
1969-07-01,580566666666.667
1969-10-01,585566666666.667
1970-01-01,587733333333.333
1970-04-01,591700000000
1970-07-01,605066666666.667
1970-10-01,621333333333.333
1971-01-01,641266666666.667
1971-04-01,666033333333.333
1971-07-01,685866666666.667
1971-10-01,704433333333.333
1972-01-01,725633333333.333
1972-04-01,743800000000
1972-07-01,768833333333.333
1972-10-01,794366666666.667
1973-01-01,813233333333.333
1973-04-01,826600000000
1973-07-01,838200000000
1973-10-01,849000000000
1974-01-01,864666666666.667
1974-04-01,875100000000
1974-07-01,884466666666.667
1974-10-01,898000000000
1975-01-01,915133333333.333
1975-04-01,948666666666.667
1975-07-01,983233333333.333
1975-10-01,1006966666666.67
1976-01-01,1038966666666.67
1976-04-01,1070166666666.67
1976-07-01,1098600000000
1976-10-01,1138400000000
1977-01-01,1177100000000
1977-04-01,1208800000000
1977-07-01,1236633333333.33
1977-10-01,1262233333333.33
1978-01-01,1285800000000
1978-04-01,1309800000000
1978-07-01,1334200000000
1978-10-01,1359133333333.33
1979-01-01,1379066666666.67
1979-04-01,1411766666666.67
1979-07-01,1445166666666.67
1979-10-01,1466666666666.67
1980-01-01,1492366666666.67
1980-04-01,1514566666666.67
1980-07-01,1560333333333.33
1980-10-01,1593466666666.67
1981-01-01,1620733333333.33
1981-04-01,1664566666666.67
1981-07-01,1694066666666.67
1981-10-01,1737800000000
1982-01-01,1777133333333.33
1982-04-01,1815100000000
1982-07-01,1845400000000
1982-10-01,1886866666666.67
1983-01-01,1990833333333.33
1983-04-01,2042033333333.33
1983-07-01,2074300000000
1983-10-01,2111966666666.67
1984-01-01,2157533333333.33
1984-04-01,2204000000000
1984-07-01,2233133333333.33
1984-10-01,2282566666666.67
1985-01-01,2351233333333.33
1985-04-01,2392866666666.67
1985-07-01,2443700000000
1985-10-01,2479766666666.67
1986-01-01,2516600000000
1986-04-01,2583233333333.33
1986-07-01,2647933333333.33
1986-10-01,2706800000000
1987-01-01,2749500000000
1987-04-01,2773200000000
1987-07-01,2790533333333.33
1987-10-01,2822333333333.33
1988-01-01,2871833333333.33
1988-04-01,2927433333333.33
1988-07-01,2954466666666.67
1988-10-01,2980366666666.67
1989-01-01,2996833333333.33
1989-04-01,3017466666666.67
1989-07-01,3075400000000
1989-10-01,3135366666666.67
1990-01-01,3180366666666.67
1990-04-01,3206766666666.67
1990-07-01,3241533333333.33
1990-10-01,3265566666666.67
1991-01-01,3305133333333.33
1991-04-01,3342533333333.33
1991-07-01,3355066666666.67
1991-10-01,3365400000000
1992-01-01,3394066666666.67
1992-04-01,3396166666666.67
1992-07-01,3399700000000
1992-10-01,3423466666666.67
1993-01-01,3413200000000
1993-04-01,3428300000000
1993-07-01,3444566666666.67
1993-10-01,3464966666666.67
1994-01-01,3474633333333.33
1994-04-01,3483700000000
1994-07-01,3485800000000
1994-10-01,3484766666666.67
1995-01-01,3488933333333.33
1995-04-01,3521600000000
1995-07-01,3583366666666.67
1995-10-01,3618033333333.33
1996-01-01,3662500000000
1996-04-01,3706233333333.33
1996-07-01,3741166666666.67
1996-10-01,3784166666666.67
1997-01-01,3832466666666.67
1997-04-01,3875433333333.33
1997-07-01,3935800000000
1997-10-01,3997733333333.33
1998-01-01,4070633333333.33
1998-04-01,4146833333333.33
1998-07-01,4216333333333.33
1998-10-01,4324466666666.67
1999-01-01,4401200000000
1999-04-01,4464933333333.33
1999-07-01,4530700000000
1999-10-01,4592033333333.33
2000-01-01,4664633333333.33
2000-04-01,4743066666666.67
2000-07-01,4799000000000
2000-10-01,4870366666666.67
2001-01-01,4997833333333.33
2001-04-01,5123433333333.33
2001-07-01,5238600000000
2001-10-01,5355933333333.33
2002-01-01,5449900000000
2002-04-01,5492466666666.67
2002-07-01,5595333333333.33
2002-10-01,5710066666666.67
2003-01-01,5804400000000
2003-04-01,5919866666666.67
2003-07-01,6040766666666.67
2003-10-01,6035333333333.33
2004-01-01,6083100000000
2004-04-01,6212933333333.33
2004-07-01,6282866666666.67
2004-10-01,6367133333333.33
2005-01-01,6404000000000
2005-04-01,6448733333333.33
2005-07-01,6541333333333.33
2005-10-01,6628466666666.67
2006-01-01,6715333333333.33
2006-04-01,6787233333333.33
2006-07-01,6885033333333.33
2006-10-01,6999766666666.67
2007-01-01,7101166666666.67
2007-04-01,7222566666666.67
2007-07-01,7336333333333.33
2007-10-01,7414300000000
2008-01-01,7558200000000
2008-04-01,7688666666666.67
2008-07-01,7779933333333.33
2008-10-01,8030200000000
2009-01-01,8290900000000
2009-04-01,8386433333333.33
2009-07-01,8409033333333.33
2009-10-01,8453733333333.33
2010-01-01,8462200000000
2010-04-01,8550766666666.67
