DATE,MABMM201ZAQ189S
1965-01-01,2926221720.28975
1965-04-01,2973866363.27822
1965-07-01,3073069781.68517
1965-10-01,3186161639.54785
1966-01-01,3184003893.35794
1966-04-01,3316487747.12496
1966-07-01,3381332838.24222
1966-10-01,3387224913.72414
1967-01-01,3440456505.43162
1967-04-01,3516560921.18282
1967-07-01,3514416358.98982
1967-10-01,3612658722.53534
1968-01-01,3707540243.33939
1968-04-01,3803471244.99927
1968-07-01,3987037256.53495
1968-10-01,4212787639.98503
1969-01-01,4287641084.73119
1969-04-01,4315486032.84688
1969-07-01,4494182250.1332
1969-10-01,4586048640.74492
1970-01-01,4839292706.62759
1970-04-01,5031899814.57115
1970-07-01,5048334330.59612
1970-10-01,5100880828.28993
1971-01-01,5146676547.91701
1971-04-01,5238997913.11745
1971-07-01,5322114491.03693
1971-10-01,5425534144.2208
1972-01-01,5483743826.97103
1972-04-01,5651731630.7048
1972-07-01,5909038401.60208
1972-10-01,6171461749.69535
1973-01-01,6472059397.21353
1973-04-01,6854145845.16331
1973-07-01,7230788766.99454
1973-10-01,7435498413.38699
1974-01-01,7882650863.73637
1974-04-01,8180570138.8621
1974-07-01,8379281818.0429
1974-10-01,9004817945.0575
1975-01-01,9480992000.88458
1975-04-01,9691440874.14193
1975-07-01,10218937713.5275
1975-10-01,10660184076.6415
1976-01-01,11039508712.9406
1976-04-01,11553355668.7793
1976-07-01,11700578243.6335
1976-10-01,11849956069.2663
1977-01-01,11946268734.1487
1977-04-01,12635575736.4542
1977-07-01,12691950027.3048
1977-10-01,12833771569.9287
1978-01-01,13426154721.876
1978-04-01,14104769755.4367
1978-07-01,14046267566.6427
1978-10-01,14977947625.968
1979-01-01,15163510974.336
1979-04-01,15354647981.5058
1979-07-01,16031745519.6985
1979-10-01,17093963398.1153
1980-01-01,17850591337.8538
1980-04-01,18730950150.4774
1980-07-01,20314466010.6799
1980-10-01,21370399029.4683
1981-01-01,23221482941.1605
1981-04-01,24318799807.5185
1981-07-01,25408315589.8419
1981-10-01,26484494295.9318
1982-01-01,27637369023.1779
1982-04-01,27944977733.8705
