TIME;Value
Feb-1978;6,6
Mär-1978;6,3
Apr-1978;6,3
Mai-1978;6,2
Jun-1978;6,3
Jul-1978;6,2
Aug-1978;6,5
Sep-1978;6,2
Okt-1978;6,2
Nov-1978;6,3
Dez-1978;6,4
Jän-1979;6,4
Feb-1979;6,3
Mär-1979;6,3
Apr-1979;6,5
Mai-1979;6,2
Jun-1979;6,3
Jul-1979;6,3
Aug-1979;6,1
Sep-1979;6,2
Okt-1979;6,4
Nov-1979;6,0
Dez-1979;6,1
Jän-1980;6,1
Feb-1980;6,0
Mär-1980;5,9
Apr-1980;6,1
Mai-1980;6,2
Jun-1980;6,3
Jul-1980;6,1
Aug-1980;6,2
Sep-1980;6,1
Okt-1980;6,1
Nov-1980;5,9
Dez-1980;6,1
Jän-1981;5,9
Feb-1981;5,6
Mär-1981;5,7
Apr-1981;5,6
Mai-1981;5,6
Jun-1981;5,4
Jul-1981;5,8
Aug-1981;5,8
Sep-1981;5,8
Okt-1981;5,9
Nov-1981;6,0
Dez-1981;6,0
Jän-1982;6,0
Feb-1982;6,3
Mär-1982;6,3
Apr-1982;6,3
Mai-1982;6,6
Jun-1982;6,8
Jul-1982;6,9
Aug-1982;7,0
Sep-1982;7,4
Okt-1982;8,3
Nov-1982;8,7
Dez-1982;9,4
Jän-1983;9,3
Feb-1983;9,7
Mär-1983;9,9
Apr-1983;10,2
Mai-1983;10,3
Jun-1983;10,2
Jul-1983;10,5
Aug-1983;10,2
Sep-1983;10,3
Okt-1983;10,0
Nov-1983;9,7
Dez-1983;9,5
Jän-1984;9,5
Feb-1984;9,4
Mär-1984;9,2
Apr-1984;9,4
Mai-1984;8,9
Jun-1984;9,1
Jul-1984;8,9
Aug-1984;8,8
Sep-1984;8,7
Okt-1984;8,7
Nov-1984;8,7
Dez-1984;8,5
Jän-1985;8,6
Feb-1985;8,4
Mär-1985;8,7
Apr-1985;8,4
Mai-1985;8,4
Jun-1985;8,6
Jul-1985;8,3
Aug-1985;8,2
Sep-1985;8,1
Okt-1985;7,8
Nov-1985;8,0
Dez-1985;7,8
Jän-1986;7,8
Feb-1986;8,0
Mär-1986;7,9
Apr-1986;7,9
Mai-1986;7,8
Jun-1986;7,7
Jul-1986;8,1
