"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHL","UNEMP","TOT","PC_LF","Q","1986-Q1",13.87433,
"CHL","UNEMP","TOT","PC_LF","Q","1986-Q2",12.00733,
"CHL","UNEMP","TOT","PC_LF","Q","1986-Q3",11.30451,
"CHL","UNEMP","TOT","PC_LF","Q","1986-Q4",11.23961,
"CHL","UNEMP","TOT","PC_LF","Q","1987-Q1",11.05297,
"CHL","UNEMP","TOT","PC_LF","Q","1987-Q2",11.3924,
"CHL","UNEMP","TOT","PC_LF","Q","1987-Q3",10.88544,
"CHL","UNEMP","TOT","PC_LF","Q","1987-Q4",10.37083,
"CHL","UNEMP","TOT","PC_LF","Q","1988-Q1",10.45842,
"CHL","UNEMP","TOT","PC_LF","Q","1988-Q2",10.27316,
"CHL","UNEMP","TOT","PC_LF","Q","1988-Q3",9.643954,
"CHL","UNEMP","TOT","PC_LF","Q","1988-Q4",8.612386,
"CHL","UNEMP","TOT","PC_LF","Q","1989-Q1",8.199833,
"CHL","UNEMP","TOT","PC_LF","Q","1989-Q2",8.211086,
"CHL","UNEMP","TOT","PC_LF","Q","1989-Q3",7.515989,
"CHL","UNEMP","TOT","PC_LF","Q","1989-Q4",7.697405,
"CHL","UNEMP","TOT","PC_LF","Q","1990-Q1",7.400736,
"CHL","UNEMP","TOT","PC_LF","Q","1990-Q2",7.889874,
"CHL","UNEMP","TOT","PC_LF","Q","1990-Q3",7.70822,
"CHL","UNEMP","TOT","PC_LF","Q","1990-Q4",8.049506,
"CHL","UNEMP","TOT","PC_LF","Q","1991-Q1",8.293855,
"CHL","UNEMP","TOT","PC_LF","Q","1991-Q2",8.028846,
"CHL","UNEMP","TOT","PC_LF","Q","1991-Q3",8.63429,
"CHL","UNEMP","TOT","PC_LF","Q","1991-Q4",7.664553,
"CHL","UNEMP","TOT","PC_LF","Q","1992-Q1",7.064085,
"CHL","UNEMP","TOT","PC_LF","Q","1992-Q2",6.377005,
"CHL","UNEMP","TOT","PC_LF","Q","1992-Q3",6.561591,
"CHL","UNEMP","TOT","PC_LF","Q","1992-Q4",6.670219,
"CHL","UNEMP","TOT","PC_LF","Q","1993-Q1",6.577245,
"CHL","UNEMP","TOT","PC_LF","Q","1993-Q2",6.235912,
"CHL","UNEMP","TOT","PC_LF","Q","1993-Q3",6.472901,
"CHL","UNEMP","TOT","PC_LF","Q","1993-Q4",6.913722,
"CHL","UNEMP","TOT","PC_LF","Q","1994-Q1",7.33646,
"CHL","UNEMP","TOT","PC_LF","Q","1994-Q2",7.667743,
"CHL","UNEMP","TOT","PC_LF","Q","1994-Q3",7.883353,
"CHL","UNEMP","TOT","PC_LF","Q","1994-Q4",8.385774,
"CHL","UNEMP","TOT","PC_LF","Q","1995-Q1",7.667376,
"CHL","UNEMP","TOT","PC_LF","Q","1995-Q2",7.408544,
"CHL","UNEMP","TOT","PC_LF","Q","1995-Q3",7.039538,
"CHL","UNEMP","TOT","PC_LF","Q","1995-Q4",7.109913,
"CHL","UNEMP","TOT","PC_LF","Q","1996-Q1",6.858942,
"CHL","UNEMP","TOT","PC_LF","Q","1996-Q2",6.29005,
"CHL","UNEMP","TOT","PC_LF","Q","1996-Q3",6.259416,
"CHL","UNEMP","TOT","PC_LF","Q","1996-Q4",5.880647,
"CHL","UNEMP","TOT","PC_LF","Q","1997-Q1",6.122105,
"CHL","UNEMP","TOT","PC_LF","Q","1997-Q2",6.313355,
"CHL","UNEMP","TOT","PC_LF","Q","1997-Q3",6.201394,
