"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1960-Q1","Q1-1960","IDX","Index","0","Units","2010_100","2010=100",17.1236664851145,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1960-Q2","Q2-1960","IDX","Index","0","Units","2010_100","2010=100",17.5983658900579,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1960-Q3","Q3-1960","IDX","Index","0","Units","2010_100","2010=100",17.6381811975014,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1960-Q4","Q4-1960","IDX","Index","0","Units","2010_100","2010=100",17.6025717323935,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1961-Q1","Q1-1961","IDX","Index","0","Units","2010_100","2010=100",17.6555653458219,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1961-Q2","Q2-1961","IDX","Index","0","Units","2010_100","2010=100",17.4615358194067,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1961-Q3","Q3-1961","IDX","Index","0","Units","2010_100","2010=100",17.3370428862733,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1961-Q4","Q4-1961","IDX","Index","0","Units","2010_100","2010=100",17.5344370865569,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1962-Q1","Q1-1962","IDX","Index","0","Units","2010_100","2010=100",18.0262402503317,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1962-Q2","Q2-1962","IDX","Index","0","Units","2010_100","2010=100",18.371399711339,,
