Country Name;Country Code;Indicator Name;Indicator Code;1995;2000;2005;2010;2014
East Asia & Pacific;EAS;Natural capital (constant 2014 US$);NW.NCA.TO;1,17822E+13;1,34747E+13;1,7742E+13;2,75365E+13;3,16256E+13
East Asia & Pacific (low and middle income);EAP;Natural capital (constant 2014 US$);NW.NCA.TO;9,42124E+12;1,10243E+13;1,48482E+13;2,29518E+13;2,67058E+13
Europe & Central Asia;ECS;Natural capital (constant 2014 US$);NW.NCA.TO;1,12714E+13;1,10464E+13;1,40473E+13;1,62165E+13;1,64914E+13
Europe & Central Asia (low and middle income);ECA;Natural capital (constant 2014 US$);NW.NCA.TO;3,08691E+12;2,62905E+12;3,17037E+12;4,09013E+12;4,48997E+12
High income: non-OECD;NOC;Natural capital (constant 2014 US$);NW.NCA.TO;8,52032E+12;9,67544E+12;1,52328E+13;2,05223E+13;2,30277E+13
High income: OECD;OEC;Natural capital (constant 2014 US$);NW.NCA.TO;1,27358E+13;1,2905E+13;1,47648E+13;1,97821E+13;2,04349E+13
Latin America & Caribbean;LCN;Natural capital (constant 2014 US$);NW.NCA.TO;8,37147E+12;8,27456E+12;1,07828E+13;1,41041E+13;1,54171E+13
Latin America & Caribbean (low and middle income);LAC;Natural capital (constant 2014 US$);NW.NCA.TO;6,97643E+12;6,85059E+12;8,75254E+12;1,13221E+13;1,24963E+13
Low income;LIC;Natural capital (constant 2014 US$);NW.NCA.TO;1,93705E+12;1,80322E+12;2,01152E+12;2,83621E+12;3,37347E+12
Lower middle income;LMC;Natural capital (constant 2014 US$);NW.NCA.TO;1,22875E+13;1,1568E+13;1,30222E+13;1,74255E+13;1,894E+13
Middle East & North Africa;MEA;Natural capital (constant 2014 US$);NW.NCA.TO;4,57128E+12;5,49202E+12;9,39035E+12;1,52904E+13;1,86711E+13
Middle East & North Africa (low and middle income);MNA;Natural capital (constant 2014 US$);NW.NCA.TO;9,83833E+11;1,23168E+12;2,35397E+12;3,97787E+12;4,44834E+12
North America;NAC;Natural capital (constant 2014 US$);NW.NCA.TO;5,72819E+12;6,02835E+12;7,1602E+12;9,49884E+12;9,3978E+12
South Asia;SAS;Natural capital (constant 2014 US$);NW.NCA.TO;3,57065E+12;3,89537E+12;4,3544E+12;6,51874E+12;7,82434E+12
Sub-Saharan Africa;SSA;Natural capital (constant 2014 US$);NW.NCA.TO;7,16201E+12;5,99345E+12;6,52146E+12;8,01E+12;8,00005E+12
Upper middle income;UMC;Natural capital (constant 2014 US$);NW.NCA.TO;1,69765E+13;1,82531E+13;2,49672E+13;3,6609E+13;4,16513E+13
World;WLD;Natural capital (constant 2014 US$);NW.NCA.TO;5,24572E+13;5,42048E+13;6,99985E+13;9,7175E+13;1,07427E+14
Albania;ALB;Natural capital (constant 2014 US$);NW.NCA.TO;35062555011;26771068160;28694912315;30087001506;38703426115
Argentina;ARG;Natural capital (constant 2014 US$);NW.NCA.TO;3,56811E+11;3,88298E+11;6,4682E+11;7,51662E+11;6,95626E+11
Armenia;ARM;Natural capital (constant 2014 US$);NW.NCA.TO;17223702908;20192303338;20218618562;27958023036;38183998853
Australia;AUS;Natural capital (constant 2014 US$);NW.NCA.TO;1,799E+12;1,88128E+12;2,32962E+12;3,91741E+12;4,24151E+12
Austria;AUT;Natural capital (constant 2014 US$);NW.NCA.TO;1,33351E+11;1,12069E+11;1,14153E+11;1,26176E+11;1,38933E+11
Azerbaijan;AZE;Natural capital (constant 2014 US$);NW.NCA.TO;77235196813;67561223639;2,12139E+11;3,714E+11;4,37995E+11
Bahrain;BHR;Natural capital (constant 2014 US$);NW.NCA.TO;7449411432;6426603347;7576015652;16249432780;19103796825
Bangladesh;BGD;Natural capital (constant 2014 US$);NW.NCA.TO;1,6394E+11;1,44817E+11;1,75674E+11;3,10478E+11;3,55387E+11
Belarus;BLR;Natural capital (constant 2014 US$);NW.NCA.TO;1,62405E+11;1,48422E+11;1,42398E+11;1,74075E+11;2,07319E+11
Belgium;BEL;Natural capital (constant 2014 US$);NW.NCA.TO;61165853187;55749520447;54771210991;52589468190;56300291608
Belize;BLZ;Natural capital (constant 2014 US$);NW.NCA.TO;6834192235;6584795862;7487546670;8412677515;10493210897
Bolivia;BOL;Natural capital (constant 2014 US$);NW.NCA.TO;99341228906;1,05819E+11;1,50838E+11;1,96156E+11;1,85122E+11
Bosnia and Herzegovina;BIH;Natural capital (constant 2014 US$);NW.NCA.TO;16247508234;22489325108;24848418334;33006826025;34328913512
Botswana;BWA;Natural capital (constant 2014 US$);NW.NCA.TO;34999267070;31136812076;29277524925;52471967956;58029261095
Brazil;BRA;Natural capital (constant 2014 US$);NW.NCA.TO;3,81749E+12;3,83437E+12;5,54495E+12;6,98803E+12;7,62042E+12
Bulgaria;BGR;Natural capital (constant 2014 US$);NW.NCA.TO;78669878856;83301833759;82975456349;98644093061;1,2052E+11
Burkina Faso;BFA;Natural capital (constant 2014 US$);NW.NCA.TO;50081445437;60094162717;63055392703;85729791237;1,01225E+11
Burundi;BDI;Natural capital (constant 2014 US$);NW.NCA.TO;31590944257;33260776934;35598926961;34689806456;29246842470
Cambodia;KHM;Natural capital (constant 2014 US$);NW.NCA.TO;30688031715;46014899230;39119183878;77859079698;1,18031E+11
Cameroon;CMR;Natural capital (constant 2014 US$);NW.NCA.TO;1,09217E+11;1,17459E+11;1,37326E+11;2,22137E+11;3,08741E+11
Canada;CAN;Natural capital (constant 2014 US$);NW.NCA.TO;8,39159E+11;9,71664E+11;1,45303E+12;1,92899E+12;1,8639E+12
Central African Republic;CAF;Natural capital (constant 2014 US$);NW.NCA.TO;42168985057;56982836929;63129568452;80486472201;86374192091
Chad;TCD;Natural capital (constant 2014 US$);NW.NCA.TO;57219629682;69863284375;92698907236;1,1061E+11;1,35507E+11
Chile;CHL;Natural capital (constant 2014 US$);NW.NCA.TO;3,06505E+11;2,75465E+11;4,15637E+11;9,1771E+11;9,78946E+11
China;CHN;Natural capital (constant 2014 US$);NW.NCA.TO;6,15477E+12;7,72797E+12;1,10147E+13;1,77092E+13;2,06457E+13
Colombia;COL;Natural capital (constant 2014 US$);NW.NCA.TO;6,51268E+11;5,97111E+11;6,099E+11;7,38834E+11;7,61435E+11
Comoros;COM;Natural capital (constant 2014 US$);NW.NCA.TO;1328869504;1890423607;1742546956;1843063726;2231487119
Congo, Dem. Rep.;COD;Natural capital (constant 2014 US$);NW.NCA.TO;4,89661E+11;3,73916E+11;2,54575E+11;3,63528E+11;5,02044E+11
Congo, Rep.;COG;Natural capital (constant 2014 US$);NW.NCA.TO;45620572708;60640386618;75569582215;98739176166;1,47956E+11
Costa Rica;CRI;Natural capital (constant 2014 US$);NW.NCA.TO;85704446638;91239210019;95559920176;1,09379E+11;1,14944E+11
Cote d'Ivoire;CIV;Natural capital (constant 2014 US$);NW.NCA.TO;2,15514E+11;1,51729E+11;1,2521E+11;1,70851E+11;2,44072E+11
Croatia;HRV;Natural capital (constant 2014 US$);NW.NCA.TO;27740640245;33033039762;36577350642;40778581707;39835817249
Denmark;DNK;Natural capital (constant 2014 US$);NW.NCA.TO;70627961864;67694300857;80909069089;90862636520;91770448210
Djibouti;DJI;Natural capital (constant 2014 US$);NW.NCA.TO;2715227385;2496962957;2538044118;4722711078;4763802780
Dominican Republic;DOM;Natural capital (constant 2014 US$);NW.NCA.TO;46336619795;39249735907;43024863554;48285532973;64711085131
Ecuador;ECU;Natural capital (constant 2014 US$);NW.NCA.TO;1,11431E+11;1,88999E+11;2,78542E+11;3,9187E+11;4,77191E+11
Egypt, Arab Rep.;EGY;Natural capital (constant 2014 US$);NW.NCA.TO;4,54226E+11;4,80049E+11;6,91401E+11;1,08026E+12;1,00588E+12
El Salvador;SLV;Natural capital (constant 2014 US$);NW.NCA.TO;25112005848;23241087636;18530374721;26604127902;27816691026
Estonia;EST;Natural capital (constant 2014 US$);NW.NCA.TO;22145304329;24040585631;24609597350;22534152966;26412951914
Ethiopia;ETH;Natural capital (constant 2014 US$);NW.NCA.TO;1,98258E+11;2,15047E+11;3,0518E+11;4,19675E+11;5,12291E+11
Finland;FIN;Natural capital (constant 2014 US$);NW.NCA.TO;87548895239;84430828992;79585025559;87201957610;98509267320
France;FRA;Natural capital (constant 2014 US$);NW.NCA.TO;6,49831E+11;6,21675E+11;5,95597E+11;6,50797E+11;7,36152E+11
Gabon;GAB;Natural capital (constant 2014 US$);NW.NCA.TO;95038703625;1,23956E+11;1,18451E+11;1,31404E+11;1,61107E+11
Gambia, The;GMB;Natural capital (constant 2014 US$);NW.NCA.TO;857252822,2;870255618,3;1813761072;2102498833;2725291253
Georgia;GEO;Natural capital (constant 2014 US$);NW.NCA.TO;29617092770;40788345590;41603043017;25091744282;27371939171
Germany;DEU;Natural capital (constant 2014 US$);NW.NCA.TO;5,24138E+11;4,95218E+11;5,06172E+11;5,9563E+11;6,23611E+11
Ghana;GHA;Natural capital (constant 2014 US$);NW.NCA.TO;1,24201E+11;1,37805E+11;1,72822E+11;1,40083E+11;2,25492E+11
Greece;GRC;Natural capital (constant 2014 US$);NW.NCA.TO;1,63382E+11;1,46612E+11;1,46307E+11;1,38597E+11;1,36658E+11
Guatemala;GTM;Natural capital (constant 2014 US$);NW.NCA.TO;81102250944;77234687969;80492917931;1,17532E+11;1,44094E+11
Guinea;GIN;Natural capital (constant 2014 US$);NW.NCA.TO;26355296102;28931997023;45471709138;73365021143;89540765103
Guyana;GUY;Natural capital (constant 2014 US$);NW.NCA.TO;27431682649;27359206270;25211748958;25075419215;30265201144
Haiti;HTI;Natural capital (constant 2014 US$);NW.NCA.TO;18290933895;18576929437;20247827579;24175247681;31906493014
Honduras;HND;Natural capital (constant 2014 US$);NW.NCA.TO;83285080346;91489473070;69868037757;82924229356;84384163992
Hungary;HUN;Natural capital (constant 2014 US$);NW.NCA.TO;66689365785;57447506335;54440458336;57559507876;65341717430
Iceland;ISL;Natural capital (constant 2014 US$);NW.NCA.TO;2243035639;1678338811;1549511405;2000116628;2939901490
India;IND;Natural capital (constant 2014 US$);NW.NCA.TO;2,51698E+12;2,75705E+12;3,17697E+12;5,01105E+12;6,13814E+12
Indonesia;IDN;Natural capital (constant 2014 US$);NW.NCA.TO;1,36566E+12;1,4245E+12;1,52854E+12;2,04699E+12;2,40275E+12
Iraq;IRQ;Natural capital (constant 2014 US$);NW.NCA.TO;97184272839;2,87941E+11;1,11532E+12;2,0735E+12;2,52276E+12
Ireland;IRL;Natural capital (constant 2014 US$);NW.NCA.TO;87569859436;76011824562;60606531690;65307892036;73469494400
Italy;ITA;Natural capital (constant 2014 US$);NW.NCA.TO;5,96489E+11;5,76875E+11;5,30314E+11;5,05528E+11;5,2396E+11
Jamaica;JAM;Natural capital (constant 2014 US$);NW.NCA.TO;41096677103;22112879524;19718747571;20236964558;18938780968
