Country Name;Country Code;Indicator Name;Indicator Code;1995;2000;2005;2010;2014
East Asia & Pacific;EAS;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1,13835E+12;1,14073E+12;3,22386E+12;9,78012E+12;1,04441E+13
East Asia & Pacific (low and middle income);EAP;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;8,91769E+11;8,31183E+11;2,51384E+12;7,40061E+12;7,73571E+12
Europe & Central Asia;ECS;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;3,05821E+12;3,34835E+12;6,60932E+12;8,81E+12;8,53572E+12
Europe & Central Asia (low and middle income);ECA;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;4,93947E+11;3,55313E+11;9,66344E+11;1,84088E+12;1,89125E+12
High income: non-OECD;NOC;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;6,16559E+12;7,29289E+12;1,26595E+13;1,81023E+13;2,07191E+13
High income: OECD;OEC;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;2,03133E+12;2,32473E+12;4,58423E+12;8,74574E+12;8,38449E+12
Latin America & Caribbean;LCN;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1,42827E+12;1,38756E+12;2,67188E+12;4,99412E+12;5,38973E+12
Latin America & Caribbean (low and middle income);LAC;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;7,84384E+11;7,15129E+11;1,54465E+12;3,17047E+12;3,4505E+12
Low income;LIC;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;43480597722;15656277642;65530725509;1,55588E+11;2,98402E+11
Lower middle income;LMC;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1,79641E+12;1,76762E+12;3,05433E+12;5,40654E+12;5,29685E+12
Middle East & North Africa;MEA;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;3,69769E+12;4,58696E+12;8,35695E+12;1,3915E+13;1,718E+13
Middle East & North Africa (low and middle income);MNA;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;2,29112E+11;4,48363E+11;1,44572E+12;2,74424E+12;3,11968E+12
North America;NAC;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1,27363E+12;1,50401E+12;2,85233E+12;4,505E+12;3,75117E+12
South Asia;SAS;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;2,1554E+11;2,44814E+11;5,40763E+11;1,34266E+12;1,49981E+12
Sub-Saharan Africa;SSA;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1,2722E+12;1,14579E+12;1,66756E+12;2,56214E+12;2,44747E+12
Upper middle income;UMC;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;2,04706E+12;1,95731E+12;5,55902E+12;1,34989E+13;1,45492E+13
World;WLD;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1,20839E+13;1,33582E+13;2,59227E+13;4,59091E+13;4,9248E+13
Albania;ALB;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;3008557661;1124558142;1488147475;3882399889;6051201997
Argentina;ARG;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;22742434792;43716248049;1,18619E+11;2,0079E+11;1,68967E+11
Armenia;ARM;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;194162912,1;253126402,5;869399172,8;3118095461;6462538172
Australia;AUS;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;2,44705E+11;3,08557E+11;7,06284E+11;2,37244E+12;2,69898E+12
Austria;AUT;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1499067578;1546711590;2863030090;7330127922;8603175497
Azerbaijan;AZE;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;41769590649;31987088389;1,60563E+11;2,9201E+11;3,42673E+11
Bahrain;BHR;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;6771123103;5868759647;7249550933;15796224689;18319630798
Bangladesh;BGD;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1323713769;2324699785;9292349211;18720209157;13528076225
Belarus;BLR;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;2063671712;3005783953;6233560936;7886124264;11057252064
Belgium;BEL;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;29477912;497044,3463;0;0;0
Belize;BLZ;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;0;14127,39679;79843261,21;208060231;655772756,8
Bolivia;BOL;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;3430847806;4461547370;21968247964;44313140749;35084572909
Bosnia and Herzegovina;BIH;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;608097030;193708771,1;2682991437;8630959198;8789291364
Botswana;BWA;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;654747578;577371447,8;1932291184;14822845335;8874648724
Brazil;BRA;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;2,38556E+11;2,73463E+11;9,30135E+11;1,79186E+12;1,81578E+12
Bulgaria;BGR;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;6633112751;6421260665;9006104093;24790371241;24990638924
Burkina Faso;BFA;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;85685553,98;17446609,82;92062592,87;2968514768;12912866893
Burundi;BDI;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;27597657,44;0;67195916,07;175679416;161194303,7
Cambodia;KHM;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;0;0;0;0;0
Cameroon;CMR;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;6485083877;7383865432;11032589046;12496930873;12119594507
Canada;CAN;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;2,46936E+11;2,91521E+11;8,16856E+11;1,19137E+12;9,92235E+11
Central African Republic;CAF;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;3881368,185;626803,0916;1099992,71;11880844,8;25665452,97
Chad;TCD;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;0;0;31294150791;47792382862;53749681593
Chile;CHL;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1,41454E+11;1,16041E+11;2,60656E+11;7,50656E+11;7,86518E+11
China;CHN;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;5,55119E+11;4,33937E+11;1,69425E+12;5,97207E+12;6,21519E+12
Colombia;COL;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;55350600486;44541995453;85969753575;1,75873E+11;2,21741E+11
Comoros;COM;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;0;0;0;0;0
