Country Name;Country Code;Indicator Name;Indicator Code;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Afghanistan;AFG;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;0,285092593;0,344531632;0,397964352;0,768116118;0,911021741;1,332142618;1,33690192;1,178239976;1,123889239;1,157887144;1,349292249;1,059539318;;;;;;;;;;;;;;;;;;;;2,173796071;1,466625504;1,057641536;0,804814521;0,917628032;1,135741338;0,819964113;0,989360694;0,587531996;0,732845131;0,774811375;0,693464209;0,729280969;0,707998968;0,635338568;0,598007928
Albania;ALB;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;;;;;;;;;;;;;;;17,68508443;17,16197129;7,310100422;9,297660919;10,15496544;11,44709738;10,77766696;9,132938439;10,61758379;3,177998189;1,665465926;1,303870372;1,264593666;1,31071361;0,265421007;0,511870807;1,050171936;0,699177295;0,737664886;0,726688251;0,574020756;0,958464491;1,4461517;2,073637405;1,668222513;0,965669513;2,0701085;3,550377114;3,723806167;3,759848871;3,675139605;1,834600541;1,973312654
Algeria;DZA;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;0,414731166;0,407965973;0,372845977;0,505383875;17,94150101;14,72269442;16,13084258;16,58112682;14,48378255;31,41136238;27,08798513;17,26212729;13,514545;13,16788348;12,09089113;11,07127073;4,51992162;6,326011301;5,647644637;9,407354386;12,45927224;10,82391571;8,869219272;7,997825151;8,282645587;9,523628563;12,44514492;11,31096005;6,567005061;9,022816482;15,31257626;14,12194727;14,0722335;16,31087336;18,20533633;24,40437654;26,53072672;24,95751341;26,97288118;18,80855384;19,97789256;23,60027812;23,02154723;21,36699467;19,30146063;12,01930333;13,63165512
American Samoa;ASM;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andorra;AND;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;AGO;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;;;;;;;;;;;;;;;;21,34037906;11,81700474;24,0180909;24,17686229;25,66182095;36,16660526;18,27996253;46,14828786;42,58272999;52,57592666;51,10722177;47,61903348;42,93362292;25,88225122;49,40371636;61,18981305;45,70045726;38,48055207;36,70143072;45,24249466;59,93950202;54,16926946;51,30950059;58,03747818;28,18035671;39,0377541;44,51424761;41,57437211;34,90780976;27,52218789;11,27432141;13,2174938
Antigua and Barbuda;ATG;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;ARB;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;0,424337059;0,356374813;0,358558003;0,648987547;31,07357829;25,26883886;26,35953904;26,47802352;24,38227304;55,59037517;46,46910988;30,94882158;20,39782092;20,674268;20,37935373;18,2883972;10,09690433;14,10479635;13,08775046;20,12926912;21,26696233;17,24495581;18,01412972;17,18509401;15,41197167;16,33608537;18,92472141;16,05621696;9,643823827;13,85078464;23,22735954;18,77090753;18,24932363;21,44945072;26,89395693;34,31257754;34,77872008;31,82527423;36,74860303;22,8352663;27,64258493;34,71126901;33,29765899;30,69465634;27,45748668;16,0417775;18,7148282
Argentina;ARG;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;0,111872862;0,114666757;0,134847853;0,16141334;1,231496633;1,638276704;1,912341829;1,671453871;1,676121788;4,721241465;5,787497392;4,655614172;2,491336432;2,90442268;3,490322504;2,927058277;0,952687081;1,485402319;1,203948893;3,089977448;2,307575662;0,989893408;0,958457989;0,946215448;0,862328553;1,06142593;1,434209144;1,233252219;0,630465132;1,123828193;2,109946548;1,712466167;4,876472914;4,302842798;4,461334612;5,453629605;5,924137993;4,915004426;5,05649634;2,875149415;3,137998333;3,693210614;3,468981118;2,968902123;2,869376587;1,18289411;1,302411594
Armenia;ARM;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;;;;;;;;;;;;;;;;;;;;;0;0;0,105580646;0,102695245;0,46853221;0,731845512;0,511192046;0,551488161;0,160954535;0,141426531;0,363153248;0,296621494;0,460033866;0,520582254;0,973893202;0,901248427;1,788808562;1,297041924;1,294546362;1,656626805;2,992090322;3,950328962;3,960753834;3,402426342;3,567221034;4,619544205;4,8265421
Aruba;ABW;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;;;;;;;;;;;;;;;;;;;;;;;;;0,000877822;0,001166588;0,000819402;0,001002505;0,000848353;0,000717946;0,000703182;0,000712081;0,000657312;0,000699945;0,000685563;0,000653321;0,000942156;0,000915666;0,000933343;0,000967649;0,002287412;0,001921868;;;;;
Australia;AUS;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;1,80984133;1,845633619;1,850961244;2,655819379;3,987016876;4,440273761;4,873147789;5,22664283;4,373886966;6,503981137;6,184973361;4,939457505;3,977990914;4,218913404;4,127568505;4,903677351;3,130012749;3,260328077;4,0564354;2,834673784;3,425858972;2,501485312;2,335556925;2,077472188;2,014168228;2,019494881;2,064743212;1,796221015;1,78094593;1,84218614;3,079259164;3,316363721;2,979403755;2,786949996;3,685531439;5,223238062;6,473632502;8,198425864;10,33257678;6,482673447;9,62373769;10,6280321;7,752329381;8,146878731;7,272398369;4,674334101;5,500438297
Austria;AUT;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;0,363841785;0,324865115;0,31245844;0,376881098;0,581664479;0,559714086;0,603314153;0,487226206;0,456052396;0,62943666;0,673949316;0,610938791;0,504347296;0,481629138;0,465491462;0,463034754;0,257169276;0,215180779;0,220367781;0,28182284;0,26683229;0,170652102;0,127470664;0,124825008;0,124230025;0,11581562;0,140312287;0,126540752;0,086657681;0,092331669;0,149526501;0,153732618;0,155418517;0,153222955;0,12970419;0,164167152;0,202262417;0,230296408;0,25982979;0,169947981;0,215220189;0,255913557;0,256167402;0,236140418;0,201965606;0,135258394;0,126526832
Azerbaijan;AZE;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;;;;;;;;;;;;;;;;;;;;;18,0642225;9,676612212;13,10237787;14,98822;15,20427851;17,41987617;22,55350553;18,5766563;4,477691372;16,00667784;35,37614534;27,68283247;25,57730649;27,36710633;29,27802901;38,82374689;44,67104285;39,01194629;38,28359168;26,60428586;30,56461772;35,33765746;31,74821676;26,48492057;22,18243504;13,34536551;20,47733552
Bahamas, The;BHS;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;0,906985202;0,847335719;0,893551077;0,847806842;0,747448128;0,444608755;0,270890814;0,293562659;0,296956269;0,200212489;0,226219082;0,187229092;0,185349293;0,140886369;0,114903866;0,040841526;0,040423691;0,043034982;0,066143799;0,058369889;0,117517923;0,098538602;0,084737846;0,106734839;0,082394945;0,093975507;0,08009688;0,051938333;0,012534981;0,011420053;0,008355596;0,008584438;0,010243114;0,009086842;0,008067455;0,007896312;0,009429136;0,010030634;0,011251067;0,011002982;0,019521164;0,016952132;0,012102931;0,014268294;0,018004994;0,014949241;0,016266061
Bahrain;BHR;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;;;;;;;;;;;18,79536172;12,31863282;9,114255115;10,18042441;9,207718786;10,40661814;6,635033558;6,952315162;5,426445181;7,489309305;9,487197331;5,093611607;4,774766358;4,680226009;3,840915582;4,008867865;4,38024477;4,534415955;2,77676791;3,587403736;4,929427201;4,656107485;4,065386109;4,115177545;4,433633205;5,79104216;6,390246526;5,946515412;6,975137549;5,511192877;5,136211121;7,373887669;8,611459358;9,052290335;8,20982639;4,760212219;4,412757437
Bangladesh;BGD;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;0,292927786;0,259880381;0,330446492;0,491559383;0,377003063;0,567715909;0,710635111;2,48794039;1,785346653;0,697267523;0,775597116;0,58508266;0,866880713;0,634814322;0,588765989;0,376051938;0,625749729;0,482838511;0,452380233;0,459751384;0,643905614;0,598509942;0,509150369;0,45864366;0,415478766;0,471255228;0,463750449;0,411479904;0,268958324;0,287192899;0,640101839;0,712913617;0,673923381;0,691679654;0,804908266;1,276574495;1,858831176;1,742225686;1,787623985;1,173681798;1,309144013;1,66007278;1,585692265;1,184488087;1,122781638;0,949108546;0,77174848
Barbados;BRB;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;;;;;;;;;;;;;;;;;;;;;0,34520276;0,185089069;0,241684248;0,217684366;0,173367217;0,203905932;0,20117828;0,148656535;0,099671019;0,217519583;0,343226665;0,208924675;0,177026082;0,204496556;0,257442039;0,35393986;0,399486496;0,410481801;0,554659199;0,195562462;0,357215753;0,537703892;0,520100523;0,491584345;0,441013064;0,158570737;0,168462629
Belarus;BLR;Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;;;;;;;;;;;;;;;;;;;;;1,135178093;0,545245224;2,186988459;2,144272336;1,886097998;2,242389706;3,286970597;3,126578695;0,730662308;1,635585048;2,497224521;2,131236649;1,824557019;1,79342895;1,824939035;1,843177611;1,808762765;1,608658415;1,569007637;1,142593642;1,360268484;1,781797517;1,673704199;1,280567963;1,101378071;0,973247377;1,455966748
