"RC1" "RC2"
"AluIndex" 0.734969064521103 0.587785010800539
"CopperIndex" -0.210995100092409 0.76977880675421
"GoldPrice" 0.904461613235862 0.109615405995451
"LeadIndex" 0.318798247271843 0.85301103460588
"NickelIndex" 0.569836421230424 0.378980693378597
"SilverPrice" 0.947432438938382 0.225496206408329
"SPIndex" 0.926381011286669 0.0878616895402186
"SP.AgriIndex" 0.909336530912674 0.105635702547973
"SP.Agri.LiveIndex" 0.95472536474035 0.139829052591084
"SP.GoldIndex" 0.948697131394311 0.21959138705749
"SPIndustrialIndex" 0.865163610801247 0.0486751676388404
"SP.LivestockIndex" 0.859100111015834 0.208384747900303
"ZincIndex" 0.290523199452035 0.823438342627199
